station_id,name,lat,lon,capacity
1,Drummond / de Maisonneuve,45.4996545106653,-73.57633531093597,23
2,John-Easton-Mills / Dézéry,45.53903429176975,-73.54013944117469,27
3,Clark / Evans,45.51108748950199,-73.56784880161285,19
4,du Champ-de-Mars / Gosford,45.50965520472071,-73.55400860309601,23
5,Brittany / Ainsley,45.52588991809354,-73.65003436803818,23
6,Ann / Wellington,45.494520387544334,-73.55676591396332,15
7,Ste-Catherine / de Bullion,45.51113072062821,-73.56280624866486,23
8,Ste-Catherine / Sanguinet,45.512936177874096,-73.56124520301817,43
9,Crescent / de Maisonneuve,45.49812041247333,-73.57759594917297,23
10,de Grosbois / Duchesneau,45.611129377656596,-73.53125596491736,23
11,7e avenue / Masson,45.54863154452348,-73.57469648122787,19
12,Metcalfe / de Maisonneuve (sud),45.501375027330134,-73.5734578129086,23
13,de Boisbriand / Sanguinet,45.51294424751087,-73.56218783921577,31
14,St-Denis / Ste-Catherine,45.51372291221464,-73.5603104531765,43
15,Maisonneuve / St-Dominique,45.51118898861533,-73.56491446495056,15
16,Jacques-Le Ber / de la Pointe Nord,45.47259900304475,-73.5398056358099,27
17,Marché St-Jacques (Atateken),45.520665992418884,-73.5639146839003,27
18,St-André / Ontario,45.518973259349224,-73.56395927799895,19
19,Métro Sherbrooke (de Rigaud / Berri),45.51809318254934,-73.5680264178245,27
20,de l'Hôtel-de-Ville / Ontario,45.51374520222444,-73.56666326522826,27
21,St-André / de Maisonneuve,45.5170859607847,-73.55974048376083,19
22,de la Commune / des Soeurs-Grises,45.49792864726048,-73.55273187160492,67
23,St-Dominique / St-Viateur,45.52649960463402,-73.59812762595539,31
24,Notre-Dame / St-Gabriel,45.50717291989507,-73.55508744153667,11
25,de la Commune / Place Jacques-Cartier,45.50761009451047,-73.55183601379395,81
26,de Maisonneuve / Mansfield (sud),45.502060854996756,-73.57348680496216,27
28,Bourget / St-Jacques,45.48067368593179,-73.58351558446884,15
30,St-Antoine / St-François-Xavier,45.5045770667804,-73.55918392539024,29
31,City Councillors / de Maisonneuve,45.505530802680966,-73.56993003553725,19
32,St-André /  Cherrier,45.52050169308784,-73.56770128011703,27
34,Viger / Chenneville,45.505381963754935,-73.5609366688459,37
35,de la Commune / St-Sulpice,45.50424245563397,-73.553469479084,47
36,6037_SWAP,0.0,0.0,0
37,de Mentana / du Mont-Royal,45.526894329885835,-73.5799089088323,23
38,des Récollets / McGill,45.500890568811926,-73.55904474863564,23
39,Lambert-Closse / de Maisonneuve,45.490925092206254,-73.5849962224529,31
40,Métro Square-Victoria-OACI (St-Jacques),45.50115848792469,-73.56083080172539,21
41,REM Gare Centrale (de la Gauchetière / Mansfield),45.49982531155875,-73.5660799094876,27
42,de Lanaudière / St-Zotique,45.54218839815043,-73.60213816165924,27
